source_id,topic,citation_hint,url,paper_positioning
daic_lrec_2014,Dataset governance and clinical-interview context,"Gratch et al. 2014, LREC",https://aclanthology.org/L14-1421/,"DAIC contains clinical interviews with audio, video, questionnaire, transcription, and verbal/nonverbal annotation, supporting our governance-first treatment of interview corpora."
daic_official_access,Dataset access and public release boundaries,USC ICT DAIC-WOZ and Extended DAIC download page,https://dcapswoz.ict.usc.edu/,"Official access terms motivate keeping real row-level manifests, paths, and private review material out of the public repository."
interviewer_bias_emnlp_2025,Protocol/interviewer bias,"Zhang and Poellabauer 2025, Findings of EMNLP",https://aclanthology.org/2025.findings-emnlp.650/,Recent interviewer-bias work motivates treating question type and dialogue protocol as nuisance factors; our paper uses this as a measurement-validity risk rather than as a standalone adversarial-method novelty.
multi_probe_audit_2026,Nearby benchmark audit risk,"Ishikawa and Duke 2026, arXiv",https://arxiv.org/abs/2605.23977,"A recent multi-probe depression benchmark audit overlaps Phase 3-style benchmark validity claims, so our novelty must emphasize target measurement validity rather than another generic benchmark audit."
questionnaire_grounding_acl_2022,Questionnaire grounding and OOD depression detection,"Nguyen et al. 2022, ACL",https://aclanthology.org/2022.acl-long.578/,Questionnaire-grounded symptom modeling is prior positive evidence for symptom-aware OOD detection; our paper's tension is that symptom grounding is not sufficient when the target measurement function changes by dataset/group.
phq_hamd_irt_2021,PHQ/HAMD measurement differences,"Ma et al. 2021, Frontiers in Psychiatry",https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.747139/full,"PHQ-9 and HAMD-17 can correlate strongly while differing in item discrimination and severity assessment, supporting scale/linking caution without overstating E-DAIC/CMDC PHQ evidence as scale-specific."
phq9_invariance_helius_2017,Classical measurement invariance,"Galenkamp et al. 2017, BMC Psychiatry",https://pmc.ncbi.nlm.nih.gov/articles/PMC5655879/,PHQ-9 measurement invariance methods provide the template for the next label-only psychometric baseline before another multimodal head iteration.
phq9_measurement_invariance_us_2019,PHQ-9 sociodemographic invariance,"Patel et al. 2019, Depression and Anxiety",https://pmc.ncbi.nlm.nih.gov/articles/PMC6736700/,PHQ-9 measurement-invariance work shows why group and dataset comparisons require psychometric checks before interpreting score or model differences.
samejima_graded_response_1969,Ordinal IRT measurement model,"Samejima 1969, Psychometrika Monograph 17",https://www.psychometricsociety.org/sites/main/files/file-attachments/mn17.pdf,The graded-response model provides the ordinal IRT family used by MV11/MV13 to separate label measurement from multimodal prediction.
mirt_jss_2012,External psychometric replication runtime,"Chalmers 2012, Journal of Statistical Software",https://www.jstatsoft.org/article/view/v048i06,mirt supplies the external multidimensional IRT implementation used in MV13 to replicate the PHQ anchor/DIF and measurement-shift pattern.
mirt_multiplegroup_docs,Multi-group IRT implementation,mirt multipleGroup documentation,https://philchalmers.github.io/mirt/html/multipleGroup.html,The multipleGroup interface documents the multi-group invariance and DIF workflow used for the MV13 external replication.
irt_lr_dif_frontiers_2017,IRT likelihood-ratio DIF testing,"Bulut and Suh 2017, Frontiers in Education",https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2017.00051/full,IRT likelihood-ratio DIF testing supports MV11 item-level loading and threshold DIF diagnostics.
phq_dif_jad_2024,Measurement invariance and DIF,"Delamain et al. 2024, Journal of Affective Disorders",https://pubmed.ncbi.nlm.nih.gov/37989437/,"PHQ-9 measurement invariance and DIF are active clinical-measurement questions, supporting our decision to frame RQ1 as measurement validity rather than only model architecture."
scale_linking_jclinepi_2026,Cross-scale linking,"Zhou et al. 2026, Journal of Clinical Epidemiology",https://www.jclinepi.com/article/S0895-4356(26)00082-X/abstract,"A 2026 equipercentile-linking study reports significant correlations but systematic differences among depression scales, aligning with our negative shared-space evidence."
mpdd_challenge_2025,Individual differences and MPDD,"Fu et al. 2025, ACM MM Challenge",https://hacilab.github.io/MPDDChallenge.github.io/,"The MPDD challenge explicitly foregrounds age, health, living condition, and personality context, supporting our RQ3 treatment of population heterogeneity."
p3hf_aaai_2026,Personality-aware multimodal methods,"Fu et al. 2026, AAAI",https://ojs.aaai.org/index.php/AAAI/article/view/37159,"P3HF shows strong personality-aware modeling on MPDD-Young, so our paper should not claim generic personality-aware fusion as the novelty."
questmf_clpsych_2025,E-DAIC item-level multimodal PHQ prediction,"Mandal et al. 2025, CLPsych",https://aclanthology.org/2025.clpsych-1.4/,"QuestMF already targets E-DAIC question-wise modality fusion and item-level PHQ interpretability; our novelty is cross-dataset measurement semantics, not item-level E-DAIC prediction alone."
red_acl_2025,Evidence retrieval for clinical-interview depression detection,"Zhang et al. 2025, Findings of ACL",https://aclanthology.org/2025.findings-acl.517/,"RED already uses retrieved transcript evidence for explainable depression detection, so MV06 should be framed as measurement-validity credibility support rather than a new evidence-retrieval method."
mirror_criterion_contamination_2025,Criterion contamination in language-based depression prediction,"Li et al. 2025, arXiv",https://arxiv.org/abs/2508.05830,"Mirror/non-mirror criterion contamination motivates MV20, our bounded CMDC-only protocol-label-overlap stress test over question-position embeddings and PHQ item semantics."
scd_mllm_2025,Generic cross-domain multimodal robustness,"Chen et al. 2026, Pattern Recognition",https://doi.org/10.1016/j.patcog.2026.113367,SCD-MLLM occupies the generic multi-dataset robust multimodal-model space; our paper should not compete on fusion architecture but on target comparability assumptions.
nlp_psychometrics_2026,Emerging NLP psychometrics framing,"De Duro et al. 2026, arXiv",https://arxiv.org/abs/2608.07316,"NLP Psychometrics shows the broader framing is emerging; our differentiator is real clinical corpora, scale-item DIF, and multimodal transfer consequences."
